subject,hours,credits
Britain and World Since 1688,59,5
Health Statistics,31,4
Criminal Proc: Adjudication,44,5
Financial Markets,81,6
Professional Stage Management,47,5
Musical Theater Dance,30,4
Computer Architecture,86,6
Audio Engineering II,43,5
Ethnographic Methods in Education,47,4
Graduate Level Cello,51,4
Investment &amp; Portfolio Mngt,30,5
Graduate Domestic Study Away,63,5
Chemistry of Soil Fertility,30,4
Sustainable Urban Systems,45,4
Crop Sciences Internship,42,4
Final Project,84,6
Close Relationships,64,6
Community Psych,54,5
Skating Activities,65,5
Advanced Anatomy,29,4
Seminar in Museum Studies,69,5
Devising Social Issues Theatre,34,5
US History to 1877-ACP,32,5
Team Sport Activities,54,6
Introduction to Piano Literature II,89,6
Advanced Focus in Clinical Pathology,45,6
Problems in Slavic Literature,46,4
Data Visualization and Communication,45,5
Studies in Luso-Brazilian Culture,52,5
Artificial Intelligence,35,4
Developing Breakthrough Projects,61,4
Railway Signaling &amp; Control,31,5
Health Administration,40,6
Adult and Professional Education,30,4
Acting Studio IV: Movement,74,5
Transportation Planning: Fundamentals and Innovations,39,6
Contemporary Korean Society,53,4
Special Topics Junior,40,6
Supply Chain Management Basics,76,6
Optimum Control Systems,38,4
The US Constitution I,48,5
Supp Percussion Instruments,32,4
Professional Project,55,4
Protein and Energy Nutrition,72,5
Control of Complex Systems,32,5
Advanced Financial Reporting,40,6
Individual Research Project,35,4
Behavior of Materials,86,6
Introductory Teaching in a Diverse Society,44,4
Prob in US Hist Since 1815,78,6
English Diction and Dialects,32,4
Contemporary US Latina/o Lit,55,4
Orchestral Repertory,64,5
Writing Across Media,73,5
Solid Mechanics II,33,5
International HR Management,44,4
Teaching Elementary Social Studies,87,6
Inter Microeconomic Theory,31,5
First-Year Seminar,49,5
American Economic History,35,5
"Disability in Recreation, Sport and Tourism",40,4
Engineering Orientation,46,5
Ethnic Conflict,47,5
Making Fashion: Apparel Design in Context,60,4
Seminars,54,5
Biostatistics,73,5
Production Planning &amp; Control,60,6
Second-Year Russian II,34,4
Advanced Income Tax Problems,58,6
Signals &amp; Systems in Bioengrg,50,4
Special Field Research Seminar,50,6
Spanish in the United States,64,5
Research Experience in Advertising,57,6
Intermediate French I,66,5
Stream Ecosystem Management,56,5
Advanced Ballet Tech Core,57,4
Making and Meaning,43,6
Complex Variables,41,4
Applied Deep Learning for Biomedical Imaging,54,5
Contact Improv Act/Mus/Dan II,47,5
"Developmental Biology, Stem Cells and Regenerative Medicine",54,6
"Marketing in Recreation, Sport and Tourism",34,5
Theory in Social Psychology,49,5
Structural Systems and Construction Methods,42,6
Int/Adv Contemp Mod Tech Elect,56,6
Advanced Jazz Trombone,54,4
Curriculum Development II,47,5
The Qur'an (Koran),27,4
Environmental Politics &amp; Policy,75,5
Applied Complex Variables,28,4
Energy Economics,43,6
Agri-food Strategic Management,59,5
Intro to Social Psych,84,6
LTI Main Stage,51,4
Strategic Models,54,6
Web Content Strategy and Management,42,6
UG Experiential Learning,49,6
Health Communication Campaigns,54,6
Advanced Field Geology,61,5
Probability with Engrg Applic,61,4
Counseling Psychology Practicum,90,6
Performance in Grad Thesis I,39,4
Computer Security I,73,5
Advanced Study Abroad,59,6
Latina/o Genders &amp; Sexualities,41,4
Fate Cleanup Environ Pollutant,55,5
Electronic Materials I,43,5
Life Contingencies II,90,6
Aerospace Syst Engineering II,63,5
Economics of Poverty Alleviation in Developing Countries,83,6
Seminar Series,56,6
Physical Medicine and Rehabilitation,46,5
Investment Management Academy,83,6
Research and Writing Seminar,49,4
Latin Jazz Ensemble,63,6
Molec &amp; Cellular Laboratory,37,4
Minds &amp; Machines,34,6
Plant Systematics,82,6
Advanced Documentary Storytelling &amp; Production,41,4
Group Representation Theory,73,5
Jazz Trumpet,87,6
Microeconomic Principles,71,5
Imaging in Critical Care,43,5
Interdisciplinary Tox Sem,40,5
Applied Research Methods,67,5
Foundations of Sport Mgt,31,5
Modeling and Learning in Data Science,39,4
Decedents' Estates and Trusts,31,4
Methods in Bioanthropology,32,4
Advanced Jazz Double Bass,48,5
Off-Campus Study,82,6
Computer Systems for CS Teachers,49,4
Healthy Music Practices,34,4
Bacterial Pathogenesis,74,6
Intervention &amp; Assessment,61,5
Interdisciplinary Seminar,68,6
Education Reforms &amp; Inquiry,44,5
Leadership Laboratory,55,4
Introduction to Clinical Practice (Longitudinal),61,5
Beginning Quechua II,70,5
Macromolecular Solids,31,4
Intro to East Asian Ling,39,5
Introduction to Anatomic Pathology,56,5
Social Welfare Planning,61,4
Intermediate French II,30,4
Valuation of Complex Derivative Securities,57,4
Adv Topics Vet Clin Med,77,6
Introduction to Directing,62,4
Senior Project,44,5
eLearning Ecologies,45,5
Bilingualism,52,4
Sustainability &amp; Manufacturing,77,6
Jazz Improvisation Styles II,37,4
Emerging Technology and Disruption: Learning to Navigate an Uncertain Future,26,4
Geographic Information Science and Systems,46,4
Equine Neonatology,57,5
Fourth-Year Chinese II,35,5
Advanced Seminar in Educational Psychology,74,6
Research Methods in Socio-Cultural Anthropology,70,6
Managing Organizations,59,6
White Collar Crime,48,5
Adv GIS for Nat Res Planning,38,4
Advanced Corporate Finance,42,4
Semiconductor Electronics,52,4
Special Topics in Comm,40,5
Theoretical Foundations of SLA,77,6
Urban Design Research Studio,37,5
Machine Learning,40,6
Intermediate Composition,30,5
General Surgery Sub-Internship,60,4
Asian American History,62,4
Physical Inorganic Chemistry,30,5
Information Sciences Study Abroad,59,4
Educational Practice in Special Fields,75,5
Independent Study I,49,4
Professional Responsibility,33,5
Illinois Modern Ensemble,61,4
Biomedical Ultrasound Imaging,31,5
Industrial Org Psych,34,5
Fluid Mechanics Seminar,43,4
High-Tech Venture Marketing,37,4
Ethics and Policy for Data Science,43,5
Advanced Tuba,57,5
Non Euclidean Geometry,50,4
Family Communication,54,5
Adv Studies in Crop Sciences,73,5
Introduction to Business Writing,38,4
Sheep and Goat Production,59,6
Wireless Networks,47,5
Advanced Studies in HDFS,36,4
Land &amp; Water Resources Engrg,81,6
Principles of Public Policy,46,5
Negotiation in HR Decisions,45,6
Exercise Endocrinology,39,6
Database Systems,46,5
Environmental Law and Pol I,60,4
Analytic Theory of Numbers II,39,4
Newsroom Experience,68,5
State Space Design for Control,43,5
Zen,61,4
Innovation and Introduction to Financial Decision Making,41,5
Synthetic Nanomaterials,59,6
Communicating for Innovation,47,6
Tools for Sustainability,85,6
Conservation and Ecosystem Health,54,4
History of Chinese Buddhism,38,5
Int Diplomacy and Negotiation,36,4
Intro to Popular TV &amp; Movies,44,6
Contemporary Art,73,5
Calculus for Business I,55,4
Hand Surgery,74,5
Health Care Systems,46,6
"Space, Time, and Matter-ACP",49,4
Directed Independent Readings,54,5
Jazz History II,58,4
Advances in Behavioral Neuroscience,40,5
Design Research Impact,31,4
Deep Learning for Computer Vision,46,4
Laboratory Rotation III,46,4
Advanced Sculpture,59,6
Content Producing for UI7,84,6
Internship Seminar,27,4
DGS Study Abroad,68,5
Individual Study Freshman,36,5
Creative Writing Tutorial,27,4
TESL in the Elementary School,33,4
Percussion Instruments Lit,56,4
Intermediate Italian I,50,6
Organismal &amp; Evol Biol Lab,44,4
The Holocaust in Context - ACP,32,5
Intro to Combinatorics,47,6
Organization Development,51,5
Content Creation,43,4
Int Tap Dance Technique,36,5
Analysis of Data,58,5
Graduate Jazz Percussion,75,6
Contemporary Health,67,6
MOS Device Modeling &amp; Design,84,6
Spatial Econometrics,47,4
German Diction,71,6
Oratorio Society,54,6
Literatures of the Islamic World,58,5
NPRE Laboratory,73,6
Ed Prac in EC &amp; ELED,71,5
Foundations of Health Behavior,62,4
Introduction to Academic Writing,57,4
First-Year Russian II,38,5
History of Russia,53,4
Advanced Creativity,38,6
Fdns/Methods of Musicology II,62,5
String Instrument Literature,55,4
Neurosurgery II,52,6
Electrochemical Methods,66,6
Intermediate Gas Dynamics,50,5
Intro Clin Neuropsych,45,4
Seminar Earlier American Lit,68,5
ACES Transfer Orientation,48,5
Introduction to Evaluation Methods,32,4
Individual Field Research,41,5
Topics in Internet of Things,40,6
Otolaryngology - ENT,64,5
Intro to Social Issues Theatre,44,5
General Chemistry I,28,4
Consumer Insight,40,4
Animal Behavior,37,5
Research Design &amp; Methods,48,4
Research in Special Topics,61,5
Synoptic Weather Forecasting,47,4
Cases in Corporate Finance,35,6
Brass Ensemble,79,6
Finite Element Methods,42,6
19thC Sp American Studies,28,4
Teaching Workshop,78,6
Data Visualization,40,4
Senior Design Project,59,6
Development Economics,41,4
Evolution of Infectious Disease,74,5
Environ Social Sci Res Meth,64,6
Acting Studio IV: Acting,52,6
Learning Technologies,86,6
Marketing Research,36,6
Choral Methods for Secondary Ensembles,57,5
Health Finance,75,5
Graduate Jazz Piano,59,6
Seminar,51,6
Biofabrication Lab,28,4
Math Program App Econ I,48,5
Aerospace Numerical Methods,26,4
Energy Conversion Systems,48,5
Business Practice Immersion,40,4
Psych and Law,36,4
"Economy, Business &amp; Society",73,6
Social Network Analysis,61,5
Mechanobiology,52,6
American Indians of Illinois,68,5
Small Group Communication,45,4
Elements of Business Writing,80,6
"Tech, Eng, &amp; Mgt Final Project",40,6
Death &amp; Dying,40,4
Data Structures,79,6
Elementary Czech II,60,6
Viscous Flow,51,4
Organ,66,6
Analytical Chemistry Seminar,30,4
Hearing Aids and Amplification,30,4
Master's Project,60,4
Design Workshop Studio I,45,4
First Year Bosnian-Croatian-Serbian II,52,5
Intermediate German I,79,6
Topics in Film and History,42,6
Financial Engineering,35,5
Advanced Data Analysis,90,6
Whole-Body Musculoskel Biomech,45,6
The World Food Economy,83,6
Visualization Drawing,73,6
Analysis of Musical Form,33,4
Thermodynamics,54,4
Graduate Jazz Trumpet,88,6
Introductory Soils,48,4
Production Practicum IV,31,4
Intro to American Indian Lit,26,4
Earthquake Engineering,43,4
Elementary Latin I,32,4
Data Science Discovery,82,6
Writing Workshop in Poetry,52,5
Special Topics-Sci &amp; Business,59,5
Individual Topics in Nutrition,86,6
Independent Study in Japanese Aesthetics,70,5
Current Topics in Computing Education Research,56,4
Supervision of Learning Environments,46,4
Elementary Spanish I,61,6
Jazz Guitar,56,5
Artsful Teaching through Integ,37,6
Microstructure Determination,27,4
Special Topics in Comp Lit II,73,5
Quantum Optics &amp; Information,52,5
Writing for Public Relations,50,4
Beg Contemp Modern Tech Core,40,5
Practicum in Piano Tchg Adults,34,4
Architectural Design Seminar,64,6
Race and Ethnicity,42,4
Elementary Korean II,81,6
Elementary Organic Chemistry I,74,5
Community Health Organizations,38,5
Adv Topics in Communication,60,4
Educational Psychology Field Instruction,37,5
Costume Rendering,30,5
Intro to Pol Research,56,5
Law and Society,78,6
Intro to Fiction,40,5
AdvTop Stand Arabic LangLit II,62,6
Teaching Elementary Mathematics,57,5
Contemporary Issues in Sport,75,5
Recent Developments in Soc,64,6
Content Creation 2: Motion Graphics &amp; VFX for Media Design,42,4
Senior Project II,40,5
Introduction to Computational Linguistics,44,4
Advanced Euphonium,54,6
System Programming,65,6
Computing in the Humanities,55,6
Topics in Media Business,52,4
Chemistry of the Environment,50,4
Women Writers,49,4
Advanced Harpsichord,54,6
Photography II,82,6
Anesthesiology,53,4
Applied Business Research,26,4
Animal Reproduction and Growth,60,5
Combinatorial Optimization,74,5
Urban Informatics I,56,6
Small Animal Internal Medicine Book Club,61,4
Partnership Income Taxation,36,6
Internship in Public History,28,4
Geospatial Visualization &amp; Visual Analytics,42,5
Early Modern British Isles,44,6
Interdisc Seminar Latin Am St,41,6
Special Topics in Planning,30,4
Food &amp; Industrial Microbiology,61,4
Seminar Rhetorical Theory,42,5
The World Through Museums,71,6
Law and Planning,57,5
Research Methods II,55,6
Advanced Wind Band Conducting and Rehearsal Strategies,34,4
Costume History II,55,5
Humanist Persp of Afro-Am Exp,38,5
The Archaeology of Greece,46,5
Elements of Phonology,64,5
Strategic Innovation,41,4
Educational Statistics,76,6
Energy and Security,57,6
Research and Inquiry for Youth,37,4
Indigenous Thinkers,71,6
Nineteenth-Century American Fiction,61,6
Medical Audiology,74,6
School Social Work Practice,45,4
Small Business Consulting,52,4
Russian for Grad Students II,56,4
Predictive Analytics,38,4
Readings in Asian Am Studies,81,6
Individual Study Sophomores,49,6
Fiction Workshop II,69,5
Elementary Spanish II,76,6
Jazz Aural Skills II,41,5
Reprod &amp; Dev Toxicology,59,6
Advanced Organ,58,4
Beginning Practicum in SHS,69,6
Beginning Ballet Tech Core,62,5
Education and Power in Middle East,74,6
Engineering Internship,60,4
Introduction to Computer Science I,34,5
Analysis of Variance,86,6
Programming for Information Problems,72,6
Introduction to Clinical Pathology,56,4
International Business Trans,65,6
Professional Statistics,27,4
"Russian, East European, and Eurasian Bibliography &amp; Research Methods",80,6
Res &amp; Bibliography in Music,48,6
Aerospace Flight Mechanics,30,5
Seminar in Ancient Art,59,5
Relativity &amp; Math Applications,53,4
Reliability Engineering,55,5
"Race, Sex, and Deviance",78,6
Quality Improvement &amp; Patient Safety,39,6
Dance Activities,68,6
FAA Study Abroad,53,5
Methods of Educational Inquiry,77,6
Parallel Programming,89,6
Curriculum in Grades 7-12,43,4
Biotransport,41,4
Illini Strings,71,5
Intro to TESL Methodology,48,4
Current Topics in Microbiology,46,5
Introduction to Epidemiology,44,5
Research Lab Experience in SHS,36,4
Ethical Dilemmas of Business,47,5
HBSE I: Human Development,44,6
Introduction to Medical Ethics,50,6
Sound Design II,70,6
Introduction to Electronics,54,5
Music and Society,48,6
Obstetrics &amp; Gynecology Clerkship,26,4
Critiques of Educational Technology,48,5
Current Topics in Intl Bus,51,4
Intro to Contemporary Dance,77,6
"Internship in Agricultural Leadership, Education and Communications",60,5
Structures &amp; Control Lab,58,5
World Animal Resources,34,6
Radiation Oncology,74,6
Management Decision Models,84,6
Intro to Statistics,57,5
Concepts and Issues in Special Education II,58,4
Sensors and Instrumentation,37,5
Agricultural Law,75,5
Dynamics of Mechanical Systems,70,6
ABE Principles: Biological,57,6
Written and Oral Business Communication,36,6
Gender &amp; Latina/o Migration,90,6
Overseas Architectural Studies,77,6
Project Management,76,6
Intro to Applied Econometrics,43,5
Physical Chemistry I,35,4
Evaluation with Applied Survey Design III,36,5
Introduction to Ethics,52,4
Advanced Gas Dynamics,46,5
Economic Forecasting,80,6
Written and Oral Communication,52,6
Survey of Interdisc Health,37,4
Dialogue on Europe,45,4
Colloquium in Acting: Acting,73,6
Water Resources Engineering,72,6
Intro to Lighting Design,56,4
Self-Designed Study,65,5
Retirement &amp; Benefit Planning,64,5
Elements of Conducting,74,6
"American Cinema, 1950-2000",53,6
Programming for GIS,64,5
Intro to Global Studies,64,5
Fields and Waves II,48,4
Info Sys Development and Mgt,55,4
Field Practicum III,72,6
Continuum Mechanics,33,4
Topics in Religious Thought,30,4
Introductory Solid Mechanics,87,6
Found of Strategy Research,74,6
Applied Bayesian Analysis,78,6
Individual Employee Rights,50,6
Neutron Diffusion &amp; Transport,65,6
Wind Symphony,69,6
Literature Review in Pathology,76,6
Racial and Ethnic Families,57,4
Sem 20thC Spanish Lit,46,4
"Diversity, Leadership &amp; Policy",75,5
Psych of Language,44,4
Risk Management Academy,44,4
Lang&amp;Culture of Arab World,47,6
"Communication in Recreation, Sport &amp; Tourism",53,4
Designing Everyday Life in Modern Japan,81,6
Classics of Sports Journalism,62,6
Ind Study and Special Topics,53,4
Electrophys Indices Audition,72,5
Intro to US Gov &amp; Pol,59,5
Grilling and BBQ Science,69,5
Soil and Water Conservation,67,5
"Chicana/Latina Autobiography, Memoir, Testimonio",42,6
Augmentative &amp; Alt Comm,53,5
Honors Advanced Analysis,60,5
Urban Transportation Planning,38,6
Humanizing Science,66,6
Advanced Language Diagnostics,39,5
Principles of CHE,50,4
Impl High Perf Work Systems,54,6
Business in Action,40,6
Engineering Risk &amp; Uncertainty,55,6
Advanced Topics in Data Analytics &amp; Data Science,42,4
Coaching Strategies,47,5
Hardware Engineering for Health Technology,28,4
Clinical Experience Administration,41,6
Contemporary Issues in Vet Med,34,4
Managing Ag Safety Risk,47,6
Zoological Companion Mammal Medicine,45,4
The Twentieth-Century American Novel,37,5
Insect Physiology,50,4
Introductory Matrix Theory,76,6
University Chorus,62,5
Sales Management,78,6
Teaching of College History,42,5
Introduction to Drawing,59,5
Sculpture for Non-Majors,39,5
Proseminar in Business Admin,66,6
Early Euro Absolut &amp; Expansion,39,5
Art in China,63,6
Urban Economics,66,6
Percussion Ensemble,73,5
Business Principles for Human Resource Development,42,5
Music Theory for Dancers,70,6
Modernity’s Mirror: Nineteenth-Century Architecture 1750-1900,65,5
Advanced Topics in Youth Services,26,4
Education and Stratification,30,5
Quantum Physics II,51,4
STAT Internship,33,4
Topics Swahili Lang &amp; Lit II,52,5
Design Workshop Studio II,40,4
Bassoon,30,4
Introduction to the Profession of Arms,47,5
Horticulture Internship,48,6
Foundations of Art Education,84,6
Independent Study,32,5
Jazz Dance II,56,4
Graduate Studio,53,4
Algorithmic Trading Systems Design and Testing,33,4
Vector and Tensor Analysis,32,5
Public Relations Strategies,36,4
Applied Statistical Methods and Data Analytics I,55,6
Public Speaking,64,6
Biological Measurement II,75,6
Commercial &amp; Technical Translation,47,5
Naval Weapons Systems,26,4
Advanced Risk Analysis for Technological Systems,64,6
Corporate Finance,45,4
Companion Animal Rehab,45,5
Engineering First-Year Experience Seminars,49,4
Elements of Morphology,40,6
Precision Agric Technology,28,4
Leadership and Teams,65,6
Behavioral Neuroscience,32,5
Dance Internship,59,4
General Relativity I,29,4
Graduate Jazz Guitar,71,6
Climate Processes,34,6
Econometrics,65,5
Fiction Workshop III,46,4
Legal Aspects of Sport,58,5
Restoration Ecology,63,6
Human Animal Interactions,36,4
Graduate Level Clarinet,45,4
Crisis Diplomacy,58,5
Hydrologic Variability,30,4
Bioenergetics of Movement,52,6
Quantum Physics I,34,5
Parasitology/Epidemiology Sem,88,6
Marketing Communications,83,6
Principles of Applied Ecology,31,5
Western Worlds: Ancient and Medieval Societies from the Mediterranean to N. Europe (ACP),34,6
"Modern Architectural History, 1850-Present",41,4
Film Theory and Criticism,67,5
Advanced Topics in Computer Architecture,53,4
American Sign Language I,39,6
Logistics Management,57,4
Environmental Plant Physiology,47,5
Analytical Foundations for Information Problems,82,6
Climate Change Impacts on Ecological Systems,45,6
Research Seminars,64,6
Rdgs in Musicol and Mus Theory,46,5
Intro to Animal Sciences,59,6
Intro to Latin Literature,52,6
Urban History,86,6
Creative Nonfiction Workshop,75,5
"Leadership in Recreation, Sport and Tourism",60,6
Corporate Taxation,67,5
Autonomous Systems and Robots,39,5
Faculty-Student Workshop,58,4
Structure and Spectroscopy,66,6
"Music, Sound, Technology",43,4
Intro to Differential Eq Plus,42,4
"Data, Statistical Models and Information",73,5
Residential Housing Design,67,6
"LGBT Indiv, Fam &amp; Community",42,6
Foundations of Information Processing,67,6
Issues&amp;Careers in Applied Econ,50,4
Graduate Level Harpsichord,70,6
Opera/Dance Stage Management,30,5
Algebraic Topology I,58,5
Advanced Topics In Information Organizations,56,6
Practicum II,70,6
Cell &amp; Tissue Engineering Lab,29,4
Major Authors,65,5
Synthesis &amp; Summary,38,4
Intermediate Swahili II,30,4
Ugrad Bioinformatics Seminar,46,4
Preparation for Auditions,44,4
Sex &amp; Gender in Popular Media,35,5
Readings in Classical Japanese,85,6
Urban Transportation Modeling,64,6
Meaning Patterns: Semiotics and the Interpretation of Meanings in Education and the Social Sciences,88,6
Design: Architecture and Urban Design,49,4
Evidence-Based Practice in Communication Sciences and Disorders,38,6
Food Law,56,4
Ag Safety-Injury Prevention,57,4
Planet Earth,28,4
Theory Practice in Elementary School Teaching II,54,4
Officership,35,5
Nutritional Physiology II,58,5
Economics of Consumption,54,5
Intro to Political Science,33,4
Point of Care Ultrasound,50,6
Language in Globalization,45,4
Popular Music Pedagogy,29,4
School and Society,40,4
Field Experience in i-Health,45,4
Music Theory and Practice II,54,6
Makerspace: Game Studies,32,5
Independent Graduate Studies,48,4
Classic Campaigns,75,5
Strategic Human Resource Development,36,5
Intro Psych,36,4
Health Behavior and Technology,71,5
Supp WW Inst: Flute,46,6
Readings in Am Ind Studies,56,4
Grad Bioinformatics Seminar,49,5
Individual Topics,48,6
Healthcare Quality,41,4
Accounting Analytics Applications,51,6
Advanced Studio II,57,4
Hospitality Management &amp; Leadership Skills,56,4
Advanced Jazz Harmony II,46,4
Microeconomics for Business,49,6
Integ Optics &amp; Optoelectronics,44,6
Advanced Topics in Food Science and Human Nutrition,41,6
Stochastic Calculus &amp; Numerical Models in Finance,47,4
Principles of Research,32,5
Palliative Care – Introduction,49,5
Leadership and Teamwork,30,4
Graduate Level Guitar,38,5
Design in NPRE,36,6
Extraterrestrial Life,41,5
"Advanced Research in Environment, Architecture &amp; Global Health",32,4
Wind Orchestra,34,4
Environmental Systems II,53,6
Detection and Discrimination,54,6
African American Music,49,5
Nanotechnology,69,6
Climate and Global Change,52,5
Global Development&amp;Environment,72,5
Special Topics in Harpsichord,85,6
Vikings to Volvos: Scandinavia,86,6
Basics of Project Management,79,6
Europe and the Mediterranean,31,5
Compnd Semicond &amp; Diode Lasers,60,4
Earth's Physical Systems,59,6
Audience Analysis,58,5
Bioscience of Human Movement,58,4
Introduction to Research,72,6
History of Africa from 1800,44,5
Qualitative Rsrch in Advert,39,6
Advanced Structural Analysis,33,5
Medical Methods in Speech-Language Pathology,28,4
Biosensors,52,5
Economics of Food and Environmental Justice,71,5
Problems in African History,45,4
Seminar in EALC,35,4
Introduction to American Literature,76,6
Philharmonia Orchestra,84,6
The Intelligent Behavior of Plants,49,6
Env Sc &amp; Nat Resource Careers,48,4
Special Topics in ECE,58,5
Integrated Behavorial Health &amp; Health Care,29,4
Biosciences Seminar Series,28,4
Advanced Jazz Trumpet,48,6
Production Practicum I,61,4
